"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 02 21:33:42 MSK 2020","Thu Apr 02 21:33:45 MSK 2020","2857","Default Suite","FinalProject","tests.FirstTest","tests.FirstTest","shareTest","shareTest","Итоговая работа"
"unknown","Thu Apr 02 21:32:42 MSK 2020","Thu Apr 02 21:32:42 MSK 2020","1","Default Suite","FinalProject","tests.FirstTest","tests.FirstTest","modificationTest","modificationTest","Итоговая работа"
"passed","Thu Apr 02 21:33:08 MSK 2020","Thu Apr 02 21:33:20 MSK 2020","11971","Default Suite","FinalProject","tests.FirstTest","tests.FirstTest","creatureTest","creatureTest","Итоговая работа"
"passed","Thu Apr 02 21:33:30 MSK 2020","Thu Apr 02 21:33:32 MSK 2020","2631","Default Suite","FinalProject","tests.FirstTest","tests.FirstTest","checkFlipScreen","checkFlipScreen","Итоговая работа"
